steamerid,firstname,lastname,DBteamId,IP,start_IP,relief_IP,start_percent,FBV,TBF,G,GS,W,L,SV,BB,K,HBP,ER,R,ERA,RA,H,HR,GB,FB,LD,K9,BB9,HR9,WHIP
sa597263,Oscar,Armenta,TBA,1,0,1,0,NULL,4,1,0,0.0534,0.0466,0,0.3581,0.6305,0.0404,0.4659,0.5051,4.1931,4.5459,1.0298,0.12,1.3889,1.2437,0.6654,5.6745,3.2229,1.08,1.3879
sa454902,Michael,Jarman,TBA,1,0,1,0,NULL,4,1,0,0.0534,0.0466,0,0.3638,0.6379,0.0384,0.4659,0.5051,4.1931,4.5459,1.0262,0.12,1.3843,1.2396,0.6631,5.7411,3.2742,1.08,1.39
sa326734,Josh,Ravin,CIN,1,0,1,0,97.7,4,0.175438596491228,0.1754,0.0328,0.0356,0,0.5712,1.0022,0.0525,0.466,0.5049,4.194,4.5441,0.8768,0.11,1.2374,0.9667,0.5586,9.0198,5.1408,0.99,1.448
sa389182,Billy,Spottiswood,ARI,1,0,1,0,NULL,4,1,0,0.0534,0.0466,0,0.3009,0.6645,0.0357,0.4661,0.5058,4.1949,4.5522,1.0427,0.13,1.4648,1.1469,0.6651,5.9805,2.7081,1.17,1.3436
sa658612,Dane,Stone,MIA,1,0.075,0.925,0.075,NULL,4,1,0,0.0534,0.0466,0,0.3519,0.7356,0.0352,0.4662,0.5056,4.1958,4.5504,1.0291,0.1,1.4182,1.109,0.6615,6.6204,3.1671,0.9,1.381
1245,R.A.,Dickey,TOR,182.2176,182.2176,0,1,81.6,780,29.8717377049,29.8717,11.6954,10.6447,0,53.1208,138.3793,7.5641,84.9901,91.8667,4.19778824877509,4.53743381539434,185.1253,25.49,242.2412,216.2868,118.7126,6.8347607475897,2.62371582108424,1.2589892524103,1.30748127513478
885,Scott,Maine,CLE,1,0,1,0,90.8,4,1,0,0.0534,0.0466,0,0.4785,0.8662,0.0629,0.4665,0.503,4.1985,4.527,0.9625,0.12,1.1697,1.2027,0.6232,7.7958,4.3065,1.08,1.441
3217,Jose,Valdez,HOU,1,0,1,0,93.1,4,1,0,0.0533,0.0467,0,0.3916,0.8201,0.0417,0.4665,0.5049,4.1985,4.5441,0.9928,0.12,1.3473,1.0987,0.6254,7.3809,3.5244,1.08,1.3844
4849,Joe,Blanton,LAA,1,0.874,0.126,0.874,89.1,4,0.175438596491228,0.1754,0.0609,0.0588,0,0.2242,0.7272,0.0277,0.4666,0.5053,4.1994,4.5477,1.0442,0.12,1.4366,1.1306,0.6541,6.5448,2.0178,1.08,1.2684
5164,Alfredo,Aceves,NYA,20,0,20,0,91.9,87,20,0.0323,1.0624,0.931,0,7.1298,15.3105,1.0927,9.3339,10.07,4.200255,4.5315,20.0048,2.88,25.5135,24.6966,12.6068,6.889725,3.20841,1.296,1.35673
sa654743,Miguel,Aguilar,FA,1,0.088,0.912,0.088,NULL,4,1,0,0.0533,0.0467,0,0.4223,0.7812,0.0348,0.4669,0.5059,4.2021,4.5531,0.99,0.11,1.3437,1.1234,0.6362,7.0308,3.8007,0.99,1.4123
